year,total_enrollment,school,pinellas_flag,percent_pre_kinder_ready,percent_passing_reading,percent_passing_math,percent_free_lunch,percent_black_enrollment,majority_free_lunch_flag,majority_black_enrollment_flag,district,FF_school_flag
2014,669,SOMERSET ACADEMY ELEMENTARY (MIRAMAR CAMPUS) ,FALSE,83,86,84,0.381165919,0.288490284,FALSE,FALSE,BROWARD     ,FALSE
2014,660,IMAGINE CHARTER SCHOOL OF BROWARD            ,FALSE,85,82,75,0.287878788,0.084848485,FALSE,FALSE,BROWARD     ,FALSE
2014,106,HENRY MCNEAL TURNER LEARNING ACADEMY         ,FALSE,40,34,26,0.726415094,0.905660377,TRUE,TRUE,BROWARD     ,FALSE
2014,770,CENTRAL RIDGE ELEMENTARY SCHOOL              ,FALSE,69,68,73,0.54025974,0.048114434,TRUE,FALSE,CITRUS      ,FALSE
2014,590,COPPERGATE ELEMENTARY SCHOOL                 ,FALSE,85,69,67,0.405084746,0.130508475,FALSE,FALSE,CLAY        ,FALSE
2014,951,OAKLEAF VILLAGE ELEMENTARY SCHOOL            ,FALSE,78,75,70,0.229232387,0.21661409,FALSE,FALSE,CLAY        ,FALSE
2014,704,SHADOWLAWN ELEMENTARY SCHOOL                 ,FALSE,78,72,64,0.306818182,0.046875,FALSE,FALSE,CLAY        ,FALSE
2014,1000,PLANTATION OAKS ELEMENTARY SCHOOL            ,FALSE,88,79,85,0.181,0.246,FALSE,FALSE,CLAY        ,FALSE
2014,925,R. C. LIPSCOMB ELEMENTARY SCHL               ,FALSE,80,67,61,0.443243243,0.152432432,FALSE,FALSE,ESCAMBIA    ,FALSE
2014,511,PINEMOUNT ELEMENTARY SCHOOL                  ,FALSE,70,71,75,0.60665362,0.090019569,TRUE,FALSE,COLUMBIA    ,FALSE
2014,1708,SPANISH LAKE ELEMENTARY SCHOOL               ,FALSE,61,65,70,0.630562061,0.06206089,TRUE,FALSE,DADE        ,FALSE
2014,186,RAMZ ACADEMY K-5 MIAMI CAMPUS                ,FALSE,38,32,54,0.698924731,0,TRUE,FALSE,DADE        ,FALSE
2014,110,MATER ACADEMY AT MOUNT SINAI                 ,FALSE,89,90,81,0.536363636,0,TRUE,FALSE,DADE        ,FALSE
2014,219,SOMERSET ACADEMY BAY                         ,FALSE,,89,77,0.109589041,0,FALSE,FALSE,DADE        ,FALSE
2014,217,TIGER ACADEMY                                ,FALSE,,50,53,0.423963134,0.967741935,FALSE,TRUE,DUVAL       ,FALSE
2014,268,"SOMERSET ACADEMY-ELEMENTARY, EAGLE CAMPUS    ",FALSE,78,53,42,0.451492537,0.865671642,FALSE,TRUE,DUVAL       ,FALSE
2014,354,RIVER CITY SCIENCE ELEMENTARY ACADEMY        ,FALSE,81,71,68,0.330508475,0.243626062,FALSE,FALSE,DUVAL       ,FALSE
2014,258,SEACOAST CHARTER ACADEMY                     ,FALSE,,66,69,0.337209302,0.42248062,FALSE,FALSE,DUVAL       ,FALSE
2014,720,CHAFFEE TRAIL ELEMENTARY                     ,FALSE,79,60,62,0.443055556,0.373611111,FALSE,FALSE,DUVAL       ,FALSE
2014,695,WATERLEAF ELEMENTARY                         ,FALSE,80,71,74,0.389928058,0.248920863,FALSE,FALSE,DUVAL       ,FALSE
2014,923,BARTRAM SPRINGS ELEMENTARY                   ,FALSE,83,78,86,0.149512459,0.135427952,FALSE,FALSE,DUVAL       ,FALSE
